"","APP","PI","MC","RU"
"408821",0.723625000000001,0.0787500000000002,0.97475,0.034125
"410083",0.999875,0.93675,0.987125,0.144125
"410333",0.0802500000000002,0.0821249999999998,0.441625,0.600000000000003
"410474",0.991125,0.305,0.960875,0.0726250000000007
"410704",0.99325,0.541125,0.946624999999999,0.00250000000000002
"414003",0.12375,0.0993749999999998,0.64,0.083625
"414840",0.000749999999999989,0.00149999999999999,0.920875,0.0103750000000002
"415602",0.0218750000000002,0.10125,0.00500000000000008,0.31225
"417087",0.99525,0.6005,0.98275,0.193375
"417112",1,0.961375,0.998375,0.97275
"419466",0.0363750000000002,0.0381249999999997,0.96225,0.531499999999999
"419692",0.0674999999999999,0.168875,0.061,0.00675000000000004
"420862",0.899874999999999,0.1055,0.98875,0.0393750000000001
"422419",0.002375,0.00312500000000003,0.443125,0.000624999999999995
"422936",0.00600000000000003,0.0204999999999999,0.92875,0.00275000000000008
"423056",0.0185,0.0398749999999999,0.877625,0.13225
"423214",0.228125,0.379625000000001,0.97675,0.781125
"424211",0.81375,0.923375,0.102875,0.0877500000000002
"424730",0.0802500000000002,0.0927500000000002,0.2025,0.079
"425839",0.723375,0.0811249999999999,0.974125,0.030625
"426374",0,0.00412499999999993,0.00100000000000006,0.000124999999999999
"427361",0.995375,0.761875,0.995125,0.67625
"427590",0.162,0.0193749999999999,0.8905,0.0261249999999999
"429128",0.0261249999999999,0.589750000000001,0.00899999999999998,0.00425000000000004
"431190",0.00500000000000009,0.0200000000000001,0.875875,0.0180000000000001
"431877",0.963875,0.6895,0.078375,0.00324999999999997
"432310",0.802249999999999,0.89825,0.634249999999999,0.07925
"434471",0.0191249999999997,0.00637500000000002,0.00412499999999996,0
"434679",0.999875,0.963375,0.998375,0.999125
"435745",0.10825,0.196374999999998,0.000374999999999992,0.002
"436930",0.999625,0.993375,0.9775,0.7555
"438418",0.00112499999999998,0.0157500000000001,0.446374999999999,0.025
"438544",0.0196250000000001,0.00700000000000005,0.157875000000001,0.00112499999999998
"439746",1,0.98025,0.992375,0.999875
"441785",0.993,0.284,0.9855,0.0213750000000001
"441855",0.9095,0.524625,0.917875,0.062125
"442825",0.000125,0.00637499999999994,0.00100000000000004,0.00612500000000005
"444948",0.999625,0.925625,0.994875,0.752875
"445806",1,0.996875,0.9925,0.998875
"446139",0.0143750000000002,0.0298749999999999,0.000124999999999986,0.00587500000000002
"448125",0.0548750000000004,0.0117499999999999,0.064875,0.00250000000000003
"448464",0.00625000000000001,0.00462500000000009,0.000624999999999981,0.000374999999999992
"448595",0,0.0103750000000001,0.00187499999999995,0
"449291",0.000125000000000006,0.145,0.0085,0.10575
"449326",0.000374999999999992,0.0111250000000001,0.0135000000000001,0.000500000000000038
"449699",0.986125,0.975375,0.966125,0.625875
"451570",0.973,0.981,0.00300000000000001,0.0115000000000001
